Namespace(batch_size=64, beta1=0.5, cuda=False, data_path='../data/', dataset='cifar10', direction='b2a', epoch_count=1, input_nc=3, lamb=10, lr=0.0002, lr_decay_iters=50, lr_policy='lambda', ndf=8, ngf=8, niter=100, niter_decay=100, output_nc=3, result_path='../results/', seed=123, test_batch_size=1, threads=4)
===> Loading datasets
===> Building models
initialize network with normal
Load existing models
===> Epoch[2](52/390): Loss_G: 0.0855
===> Epoch[2](53/390): Loss_G: 0.0952
===> Epoch[2](54/390): Loss_G: 0.1186
===> Epoch[2](55/390): Loss_G: 0.0862
===> Epoch[2](56/390): Loss_G: 0.1117
===> Epoch[2](57/390): Loss_G: 0.0921
===> Epoch[2](58/390): Loss_G: 0.0936
===> Epoch[2](59/390): Loss_G: 0.1087
===> Epoch[2](60/390): Loss_G: 0.0946
===> Epoch[2](61/390): Loss_G: 0.0927
===> Epoch[2](62/390): Loss_G: 0.0946
===> Epoch[2](63/390): Loss_G: 0.1004
===> Epoch[2](64/390): Loss_G: 0.1094
===> Epoch[2](65/390): Loss_G: 0.0893
